symbol,display,company,pages,ok,listing_status,currency,price,previous_close,ytd_return_pct,market_cap_currency,market_cap_local,market_cap_usd,market_time,as_of,quote_url,chart_url,error
688126.SS,688126.SS,National Silicon Industry Group,semiconductor-alpha-cpo,True,,CNY,24.71,21.64,10.56,CNY,85534005410.0,12650479400.14,2026-06-02T07:00:01+00:00,2026-06-02,https://finance.yahoo.com/quote/688126.SS/,https://query1.finance.yahoo.com/v8/finance/chart/688126.SS?range=ytd&interval=1d,
688256.SS,688256.SS,688256.SS,beneficiaries;market-snapshot;semiconductor-alpha-cpo,True,,CNY,1300.0,909.765,39.35,CNY,777826695622.0,115040568282.49,2026-06-02T07:00:03+00:00,2026-06-02,https://finance.yahoo.com/quote/688256.SS/,https://query1.finance.yahoo.com/v8/finance/chart/688256.SS?range=ytd&interval=1d,
6920.T,6920.T,6920.T,beneficiaries;market-snapshot;semiconductor-ai-nodes;semiconductor-alpha-cpo;signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,JPY,40340.0,29645.0,27.22,JPY,3440025229740.0,21672158947.36,2026-06-03T00:07:26+00:00,2026-06-02,https://finance.yahoo.com/quote/6920.T/,https://query1.finance.yahoo.com/v8/finance/chart/6920.T?range=ytd&interval=1d,
6925.T,6925.T,6925.T,beneficiaries;market-snapshot,True,,JPY,4113.0,2505.0,59.14,JPY,322152949020.0,2029563578.83,2026-06-03T00:07:17+00:00,2026-06-02,https://finance.yahoo.com/quote/6925.T/,https://query1.finance.yahoo.com/v8/finance/chart/6925.T?range=ytd&interval=1d,
6951.T,6951.T,JEOL Ltd.,scaling,True,,JPY,7354.0,5031.0,46.06,JPY,348262560089.0,2194054128.56,2026-06-03T00:07:15+00:00,2026-06-02,https://finance.yahoo.com/quote/6951.T/,https://query1.finance.yahoo.com/v8/finance/chart/6951.T?range=ytd&interval=1d,
6963.T,6963,ROHM,ai-passives;companies;semiconductor-ai-nodes;semiconductor-alpha-cpo,True,,JPY,5150.0,2220.0,126.13,JPY,2000433727558.0,12602732483.62,2026-06-02T06:30:00+00:00,2026-06-02,https://finance.yahoo.com/quote/6963.T/,https://query1.finance.yahoo.com/v8/finance/chart/6963.T?range=ytd&interval=1d,
6965.T,6965.T,6965.T,beneficiaries;bottleneck-sectors;latent-ai-nodes;market-snapshot,True,,JPY,2889.5,1661.0,69.22,JPY,844289058270.0,5319021067.1,2026-06-03T00:07:25+00:00,2026-06-02,https://finance.yahoo.com/quote/6965.T/,https://query1.finance.yahoo.com/v8/finance/chart/6965.T?range=ytd&interval=1d,
6967.T,6967.T,Shinko Electric,signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,False,"Delisted June 6, 2025 after the JICC-04 / JIC Capital tender offer; no current public stock price exists.",,,,,,,,,2026-06-02,https://www.shinko.co.jp/english/ir/faq/,https://query1.finance.yahoo.com/v8/finance/chart/6967.T?range=ytd&interval=1d,"Delisted June 6, 2025 after the JICC-04 / JIC Capital tender offer; no current public stock price exists."
6971.T,6971,Kyocera,ai-passives;companies,True,,JPY,3671.0,2196.5,64.51,JPY,4145000000000.0,26113500000.0,2026-06-03T00:07:26+00:00,2026-06-02,https://finance.yahoo.com/quote/6971.T/,https://query1.finance.yahoo.com/v8/finance/chart/6971.T?range=ytd&interval=1d,
6976.T,6976.T,6976.T,ai-passives;bottleneck-sectors;market-snapshot,True,,JPY,16375.0,3540.0,345.82,JPY,2008312218440.0,12652366976.17,2026-06-03T00:07:27+00:00,2026-06-02,https://finance.yahoo.com/quote/6976.T/,https://query1.finance.yahoo.com/v8/finance/chart/6976.T?range=ytd&interval=1d,
6981.T,6981,Murata Manufacturing,ai-passives;bottleneck-sectors;companies;market-snapshot,True,,JPY,10805.0,3246.0,224.47,JPY,19094855485240.0,120297589557.01,2026-06-03T00:07:26+00:00,2026-06-02,https://finance.yahoo.com/quote/6981.T/,https://query1.finance.yahoo.com/v8/finance/chart/6981.T?range=ytd&interval=1d,
6996.T,6996,Nichicon,ai-passives,True,,JPY,3865.0,1636.0,133.25,JPY,266619812710.0,1679704820.07,2026-06-03T00:07:24+00:00,2026-06-02,https://finance.yahoo.com/quote/6996.T/,https://query1.finance.yahoo.com/v8/finance/chart/6996.T?range=ytd&interval=1d,
6997.T,6997,Nippon Chemi-Con,ai-passives,True,,JPY,4945.0,1450.0,229.01,JPY,135359273600.0,852763423.68,2026-06-03T00:07:26+00:00,2026-06-02,https://finance.yahoo.com/quote/6997.T/,https://query1.finance.yahoo.com/v8/finance/chart/6997.T?range=ytd&interval=1d,
7011.T,7011.T,7011.T,bottleneck-sectors;market-snapshot,True,,JPY,3500.0,3840.0,-15.91,JPY,13300000000000.0,83790000000.0,2026-06-03T00:07:27+00:00,2026-06-02,https://finance.yahoo.com/quote/7011.T/,https://query1.finance.yahoo.com/v8/finance/chart/7011.T?range=ytd&interval=1d,
