symbol,display,company,pages,ok,listing_status,currency,price,previous_close,ytd_return_pct,market_cap_local,market_cap_usd,market_time,as_of,quote_url,chart_url,error
SIMO,SIMO,Silicon Motion,companies;signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,USD,234.52,92.7,150.13,7970000000.0,7970000000.0,2026-05-01T20:00:00+00:00,2026-05-04,https://finance.yahoo.com/quote/SIMO/,https://query1.finance.yahoo.com/v8/finance/chart/SIMO?range=ytd&interval=1d,
SITM,SITM,SiTime,companies,True,,USD,558.63,353.19,51.0,,,2026-05-01T20:00:00+00:00,2026-05-04,https://finance.yahoo.com/quote/SITM/,https://query1.finance.yahoo.com/v8/finance/chart/SITM?range=ytd&interval=1d,
SIVE.ST,SIVE.ST,Sivers Semiconductors,signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,SEK,48.48,4.154,1032.71,,,2026-05-04T09:32:06+00:00,2026-05-04,https://finance.yahoo.com/quote/SIVE.ST/,https://query1.finance.yahoo.com/v8/finance/chart/SIVE.ST?range=ytd&interval=1d,
SKYT,SKYT,SkyWater Technology,scaling,True,,USD,31.99,18.16,42.62,1631000000.0,1631000000.0,2026-05-01T20:00:00+00:00,2026-05-04,https://finance.yahoo.com/quote/SKYT/,https://query1.finance.yahoo.com/v8/finance/chart/SKYT?range=ytd&interval=1d,
SMCI,SMCI,Super Micro Computer,ai-passives;companies,True,,USD,27.09,29.27,-12.5,16267000000.0,16267000000.0,2026-05-01T20:00:00+00:00,2026-05-04,https://finance.yahoo.com/quote/SMCI/,https://query1.finance.yahoo.com/v8/finance/chart/SMCI?range=ytd&interval=1d,
SMHN.DE,SMHN.DE,SÜSS MicroTec,scaling,True,,EUR,77.15,39.14,88.91,988273000.0,1158453610.6,2026-05-04T09:06:03+00:00,2026-05-04,https://finance.yahoo.com/quote/SMHN.DE/,https://query1.finance.yahoo.com/v8/finance/chart/SMHN.DE?range=ytd&interval=1d,
SMR,SMR,SMR,beneficiaries;market-snapshot,True,,USD,12.14,14.17,-25.57,3930000000.0,3930000000.0,2026-05-01T20:00:46+00:00,2026-05-04,https://finance.yahoo.com/quote/SMR/,https://query1.finance.yahoo.com/v8/finance/chart/SMR?range=ytd&interval=1d,
SNPS,SNPS,Synopsys,beneficiaries;companies;market-snapshot,True,,USD,489.02,469.72,1.79,93678000000.0,93678000000.0,2026-05-01T20:00:00+00:00,2026-05-04,https://finance.yahoo.com/quote/SNPS/,https://query1.finance.yahoo.com/v8/finance/chart/SNPS?range=ytd&interval=1d,
SOI.PA,SOI.PA,SOI.PA,beneficiaries;market-snapshot;signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,EUR,146.2,23.19,487.86,,,2026-05-04T09:17:03+00:00,2026-05-04,https://finance.yahoo.com/quote/SOI.PA/,https://query1.finance.yahoo.com/v8/finance/chart/SOI.PA?range=ytd&interval=1d,
STLTECH.NS,STLTECH.NS,Sterlite Technologies,scaling,True,,INR,309.5,103.2,201.95,,,2026-05-04T09:32:06+00:00,2026-05-04,https://finance.yahoo.com/quote/STLTECH.NS/,https://query1.finance.yahoo.com/v8/finance/chart/STLTECH.NS?range=ytd&interval=1d,
STM,STM,STMicroelectronics,ai-passives;bottleneck-sectors;companies;market-snapshot,True,,USD,55.75,25.94,103.69,49550000000.0,49550000000.0,2026-05-01T20:00:02+00:00,2026-05-04,https://finance.yahoo.com/quote/STM/,https://query1.finance.yahoo.com/v8/finance/chart/STM?range=ytd&interval=1d,
STX,STX,Seagate Technology,companies,True,,USD,726.93,275.39,152.81,162999000000.0,162999000000.0,2026-05-01T20:00:00+00:00,2026-05-04,https://finance.yahoo.com/quote/STX/,https://query1.finance.yahoo.com/v8/finance/chart/STX?range=ytd&interval=1d,
SU.PA,SU,Schneider Electric,ai-passives;beneficiaries;bottleneck-sectors;companies;market-snapshot,True,,EUR,267.4,234.9,12.8,,,2026-05-04T09:17:06+00:00,2026-05-04,https://finance.yahoo.com/quote/SU.PA/,https://query1.finance.yahoo.com/v8/finance/chart/SU.PA?range=ytd&interval=1d,
SYM,SYM,Symbotic,robotics,True,,USD,58.89,59.5,-9.22,36474000000.0,36474000000.0,2026-05-01T20:00:00+00:00,2026-05-04,https://finance.yahoo.com/quote/SYM/,https://query1.finance.yahoo.com/v8/finance/chart/SYM?range=ytd&interval=1d,
TEJASNET.NS,TEJASNET.NS,Tejas Networks,scaling,True,,INR,418.2,449.65,-7.5,,,2026-05-04T09:32:08+00:00,2026-05-04,https://finance.yahoo.com/quote/TEJASNET.NS/,https://query1.finance.yahoo.com/v8/finance/chart/TEJASNET.NS?range=ytd&interval=1d,
TEL,TEL,TE Connectivity,ai-passives;companies,True,,USD,207.43,227.51,-11.06,60548000000.0,60548000000.0,2026-05-01T20:00:03+00:00,2026-05-04,https://finance.yahoo.com/quote/TEL/,https://query1.finance.yahoo.com/v8/finance/chart/TEL?range=ytd&interval=1d,
TER,TER,Teradyne,companies;signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,USD,345.42,193.56,66.42,54079000000.0,54079000000.0,2026-05-01T20:00:00+00:00,2026-05-04,https://finance.yahoo.com/quote/TER/,https://query1.finance.yahoo.com/v8/finance/chart/TER?range=ytd&interval=1d,
TLN,TLN,TLN,beneficiaries;market-snapshot,True,,USD,372.16,374.84,-6.19,,,2026-05-01T20:00:00+00:00,2026-05-04,https://finance.yahoo.com/quote/TLN/,https://query1.finance.yahoo.com/v8/finance/chart/TLN?range=ytd&interval=1d,
TSEM,TSEM,Tower Semiconductor,signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,USD,218.01,117.42,79.08,25941000000.0,25941000000.0,2026-05-01T20:00:00+00:00,2026-05-04,https://finance.yahoo.com/quote/TSEM/,https://query1.finance.yahoo.com/v8/finance/chart/TSEM?range=ytd&interval=1d,
TSLA,TSLA,Tesla,robotics,True,,USD,390.82,449.72,-10.79,1468000000000.0,1468000000000.0,2026-05-01T20:00:00+00:00,2026-05-04,https://finance.yahoo.com/quote/TSLA/,https://query1.finance.yahoo.com/v8/finance/chart/TSLA?range=ytd&interval=1d,
TSM,TSM,TSMC,beneficiaries;bottleneck-sectors;companies;market-snapshot;robotics,True,,USD,397.67,303.89,24.42,2062000000000.0,2062000000000.0,2026-05-01T20:00:02+00:00,2026-05-04,https://finance.yahoo.com/quote/TSM/,https://query1.finance.yahoo.com/v8/finance/chart/TSM?range=ytd&interval=1d,
TT,TT,Trane Technologies,bottleneck-sectors;companies;market-snapshot,True,,USD,486.48,389.2,22.23,107571000000.0,107571000000.0,2026-05-01T20:00:04+00:00,2026-05-04,https://finance.yahoo.com/quote/TT/,https://query1.finance.yahoo.com/v8/finance/chart/TT?range=ytd&interval=1d,
TTG.L,TTG,TT Electronics,ai-passives,True,,GBp,115.0,114.4,-2.54,,,2026-05-01T15:38:44+00:00,2026-05-04,https://finance.yahoo.com/quote/TTG.L/,https://query1.finance.yahoo.com/v8/finance/chart/TTG.L?range=ytd&interval=1d,
TTMI,TTMI,TTMI,ai-passives;bottleneck-sectors;market-snapshot,True,,USD,158.99,69.0,125.17,,,2026-05-01T20:00:00+00:00,2026-05-04,https://finance.yahoo.com/quote/TTMI/,https://query1.finance.yahoo.com/v8/finance/chart/TTMI?range=ytd&interval=1d,
TXN,TXN,Texas Instruments,ai-passives,True,,USD,280.95,173.49,58.26,255691000000.0,255691000000.0,2026-05-01T20:00:02+00:00,2026-05-04,https://finance.yahoo.com/quote/TXN/,https://query1.finance.yahoo.com/v8/finance/chart/TXN?range=ytd&interval=1d,
UBXN.SW,UBXN.SW,u-blox,scaling,True,,CHF,133.2,135.0,-1.33,,,2026-05-04T07:01:44+00:00,2026-05-04,https://finance.yahoo.com/quote/UBXN.SW/,https://query1.finance.yahoo.com/v8/finance/chart/UBXN.SW?range=ytd&interval=1d,
UMC,UMC,UMC,companies,True,,USD,13.05,7.86,66.45,32826000000.0,32826000000.0,2026-05-01T20:00:02+00:00,2026-05-04,https://finance.yahoo.com/quote/UMC/,https://query1.finance.yahoo.com/v8/finance/chart/UMC?range=ytd&interval=1d,
VGO.WA,VGO.WA,VIGO Photonics,scaling,True,,PLN,532.0,450.0,12.71,,,2026-05-04T09:17:07+00:00,2026-05-04,https://finance.yahoo.com/quote/VGO.WA/,https://query1.finance.yahoo.com/v8/finance/chart/VGO.WA?range=ytd&interval=1d,
VICR,VICR,Vicor,ai-passives,True,,USD,268.51,109.6,129.77,12183000000.0,12183000000.0,2026-05-01T20:00:02+00:00,2026-05-04,https://finance.yahoo.com/quote/VICR/,https://query1.finance.yahoo.com/v8/finance/chart/VICR?range=ytd&interval=1d,
VLN,VLN,Valens Semiconductor,scaling,True,,USD,2.34,1.42,50.0,242700000.0,242700000.0,2026-05-01T20:00:02+00:00,2026-05-04,https://finance.yahoo.com/quote/VLN/,https://query1.finance.yahoo.com/v8/finance/chart/VLN?range=ytd&interval=1d,
VLTSA.PA,VLTSA.PA,Voltalia,scaling,True,,EUR,7.1,7.79,-13.04,,,2026-05-04T09:10:28+00:00,2026-05-04,https://finance.yahoo.com/quote/VLTSA.PA/,https://query1.finance.yahoo.com/v8/finance/chart/VLTSA.PA?range=ytd&interval=1d,
VOLTAMP.NS,VOLTAMP.NS,Voltamp Transformers,scaling,True,,INR,12299.0,7852.0,57.87,,,2026-05-04T09:32:07+00:00,2026-05-04,https://finance.yahoo.com/quote/VOLTAMP.NS/,https://query1.finance.yahoo.com/v8/finance/chart/VOLTAMP.NS?range=ytd&interval=1d,
VPG,VPG,Vishay Precision Group,ai-passives,True,,USD,60.22,38.5,53.31,,,2026-05-01T20:00:02+00:00,2026-05-04,https://finance.yahoo.com/quote/VPG/,https://query1.finance.yahoo.com/v8/finance/chart/VPG?range=ytd&interval=1d,
VRT,VRT,Vertiv,ai-passives;beneficiaries;bottleneck-sectors;companies;market-snapshot,True,,USD,328.31,162.01,86.95,117606000000.0,117606000000.0,2026-05-01T20:00:03+00:00,2026-05-04,https://finance.yahoo.com/quote/VRT/,https://query1.finance.yahoo.com/v8/finance/chart/VRT?range=ytd&interval=1d,
VSH,VSH,Vishay Intertechnology,ai-passives;bottleneck-sectors;companies;market-snapshot,True,,USD,29.58,14.49,93.46,4026000000.0,4026000000.0,2026-05-01T20:00:02+00:00,2026-05-04,https://finance.yahoo.com/quote/VSH/,https://query1.finance.yahoo.com/v8/finance/chart/VSH?range=ytd&interval=1d,
VST,VST,VST,beneficiaries;market-snapshot,True,,USD,155.28,161.33,-6.02,52570000000.0,52570000000.0,2026-05-01T20:00:02+00:00,2026-05-04,https://finance.yahoo.com/quote/VST/,https://query1.finance.yahoo.com/v8/finance/chart/VST?range=ytd&interval=1d,
WAF.F,WAF.F,Siltronic,scaling,True,,EUR,80.2,46.38,60.4,,,2026-05-04T09:06:27+00:00,2026-05-04,https://finance.yahoo.com/quote/WAF.F/,https://query1.finance.yahoo.com/v8/finance/chart/WAF.F?range=ytd&interval=1d,
WDC,WDC,Western Digital,ai-passives;companies,True,,USD,431.52,172.27,129.9,147536000000.0,147536000000.0,2026-05-01T20:00:03+00:00,2026-05-04,https://finance.yahoo.com/quote/WDC/,https://query1.finance.yahoo.com/v8/finance/chart/WDC?range=ytd&interval=1d,
WITH.HE,WITH.HE,WithSecure Oyj,scaling,True,,EUR,1.718,1.712,0.35,,,2026-03-24T16:29:31+00:00,2026-05-04,https://finance.yahoo.com/quote/WITH.HE/,https://query1.finance.yahoo.com/v8/finance/chart/WITH.HE?range=ytd&interval=1d,
WMT,NYSE: WMT,Walmart,carbon-vs-silicon,True,,USD,131.6,111.41,16.71,1049000000000.0,1049000000000.0,2026-05-01T20:00:00+00:00,2026-05-04,https://finance.yahoo.com/quote/WMT/,https://query1.finance.yahoo.com/v8/finance/chart/WMT?range=ytd&interval=1d,
WOLF,WOLF,Wolfspeed,companies;scaling,True,,USD,36.76,17.41,94.19,1777000000.0,1777000000.0,2026-05-01T20:01:46+00:00,2026-05-04,https://finance.yahoo.com/quote/WOLF/,https://query1.finance.yahoo.com/v8/finance/chart/WOLF?range=ytd&interval=1d,
WWD,WWD,WWD,bottleneck-sectors;market-snapshot,True,,USD,362.99,302.32,16.77,21640000000.0,21640000000.0,2026-05-01T20:00:00+00:00,2026-05-04,https://finance.yahoo.com/quote/WWD/,https://query1.finance.yahoo.com/v8/finance/chart/WWD?range=ytd&interval=1d,
XFAB.PA,XFAB.PA,X-FAB,scaling,True,,EUR,6.39,5.17,21.02,,,2026-05-04T09:14:21+00:00,2026-05-04,https://finance.yahoo.com/quote/XFAB.PA/,https://query1.finance.yahoo.com/v8/finance/chart/XFAB.PA?range=ytd&interval=1d,
YSN.F,YSN.F,secunet,scaling,True,,EUR,186.4,183.6,3.1,,,2026-05-04T08:58:22+00:00,2026-05-04,https://finance.yahoo.com/quote/YSN.F/,https://query1.finance.yahoo.com/v8/finance/chart/YSN.F?range=ytd&interval=1d,
YUBICO.ST,YUBICO.ST,Yubico,scaling,True,,SEK,49.0,76.42,-32.88,,,2026-05-04T09:31:59+00:00,2026-05-04,https://finance.yahoo.com/quote/YUBICO.ST/,https://query1.finance.yahoo.com/v8/finance/chart/YUBICO.ST?range=ytd&interval=1d,
